ACCNTNUM,LOCNUM,LOCNAME,ADDRESSNUM,STREETNAME,DISTRICT,DSTRCTCODE,CITY,CITYCODE,STATE,STATECODE,POSTALCODE,COUNTY,COUNTYCODE,CRESTA,Latitude,Longitude,FLOORAREA,AREAUNIT,CNTRYSCHEME,CNTRYCODE,NUMBLDGS,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,YEARBUILT,NUMSTORIES,WSCV4VAL,WSCV4VCUR,WSCV5VAL,WSCV5VCUR,WSCV6VAL,WSCV6VCUR,WSCV7VAL,WSCV7VCUR,WSCV4LIMIT,WSCV4LCUR,WSCV5LIMIT,WSCV5LCUR,WSCV6LIMIT,WSCV6LCUR,WSCV7LIMIT,WSCV7LCUR,WSCV4DED,WSCV4DCUR,WSCV5DED,WSCV5DCUR,WSCV6DED,WSCV6DCUR,WSCV7DED,WSCV7DCUR,WSSITELIM,WSSITELCUR,WSSITEDED,WSSITEDCUR,WSCOMBINEDLIM,WSCOMBINEDLCUR,WSCOMBINEDDED,WSCOMBINEDDCUR,RESISTOPEN,ROOFAGE,ROOFANCH,ROOFSYS,CLADRATE,ROOFGEOM,CLADSYS,USERTXT1,USERTXT2,USERID1,USERID2,PRIMARYBLDG
MLR 8036573_24_1,MLR 6705319_24_1,MLR 6705319 11,,11 5 12 ESTATE FRYDENDA,,,KANSAS CITY,,,,802,ST THOMAS,30,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,463861,USD,46386,USD,0,USD,0,USD,463861,USD,46386,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,23193,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
MLR 9605139_24_1,MLR 7350110_24_1,MLR 7350110 10,,38 CANE CARLTON FREDERIKSTED,,,KANSAS CITY,,,,840,ST CROIX,10,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,83698,USD,8369,USD,0,USD,0,USD,83698,USD,8369,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,5000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 2474830_24_1,MLR 6565155_24_1,MLR 6565155 11,,BAY20-35 ESTATE SMIT,,,KANSAS CITY,,,,802,ST THOMAS,30,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,262596,USD,26259,USD,0,USD,0,USD,262596,USD,26259,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,13130,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
MLR 6860581_24_1,MLR 6832934_24_1,MLR 6832934 11,,204 CONTANT-ENIGHED,,,CRUZ BAY,,,,830,ST JOHN,20,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,2,12/31/9999,0,43265,USD,4326,USD,0,USD,0,USD,43265,USD,4326,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,5000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
MLR 7180318_24_1,MLR 6833306_24_1,MLR 6833306 11,,196 BARREN SPOT CHRISTIA,,,CHRISTIANSTED,,,,820,ST CROIX,10,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,2,12/31/9999,0,130161,USD,13016,USD,0,USD,0,USD,130161,USD,13016,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,6508,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 3346067_24_1,MLR 6833609_24_1,MLR 6833609 11,,PARCEL NO 9A ESTATE CROWN,,,KANSAS CITY,,,,802,ST THOMAS,30,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,2,12/31/9999,0,106325,USD,10632,USD,0,USD,0,USD,106325,USD,10632,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,5316,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2CU 3289492_24_1,2MR 2253075_24_1,2MR 2253075 01,,58 ESTATE WHIM,,,KANSAS CITY,,,,840,ST CROIX,10,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,201400,USD,20140,USD,0,USD,0,USD,201400,USD,20140,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,10070,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 3283107_24_1,2MR 3343081_24_1,2MR 3343081 00,,26 MARIENHOJ,,,CHRISTIANSTED,,,,820,ST CROIX,10,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,432087,USD,43208,USD,0,USD,0,USD,432087,USD,43208,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,21604,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 3283712_24_1,2MR 3342677_24_1,2MR 3342677 00,,9/1/1964 NAZARETH,,,KANSAS CITY,,,,802,ST THOMAS,30,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,381000,USD,38100,USD,0,USD,0,USD,381000,USD,38100,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,19050,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 3110917_24_1,2MR 0220141_24_1,2MR 0220141 04,,146 -145 ANNAS RETREAT,,,KANSAS CITY,,,,802,ST THOMAS,30,,0,0,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,189432,USD,18943,USD,0,USD,0,USD,189432,USD,18943,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,9472,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
